grupo_id,n_registros,codigos,establecimiento_representativo,niveles,nombre_generico_sospechoso
3162,12,"16-03-0075-45, 16-03-0076-46, 16-03-0077-46, 16-03-0081-45, 16-03-0082-46, 16-03-0083-46, 16-03-0097-46, 16-03-0107-45, 16-03-0108-46, 16-03-0109-46, 16-03-0237-45, 16-03-0243-46",COLEGIO MIXTO CIENCIAS TECNOLÓGICAS,"BASICO, DIVERSIFICADO",False
2610,12,"13-01-0187-42, 13-01-0188-43, 13-01-0190-42, 13-01-0191-43, 13-01-0192-45, 13-01-0193-46, 13-01-0407-45, 13-01-0408-46, 13-01-6950-44, 13-01-6952-46, 13-01-6953-45, 13-01-6955-45",COLEGIO PRIVADO MIXTO HERMANO PEDRO,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA, PRIMARIA DE ADULTOS",False
58,12,"00-01-7111-45, 00-01-7295-46, 00-01-7299-44, 00-01-7300-44, 00-01-7301-44, 00-01-7302-45, 00-01-7303-45, 00-01-7304-45, 00-01-7305-45, 00-01-7306-44, 00-01-8229-45, 00-01-8231-46",COLEGIO MAYB'AL,"BASICO, DIVERSIFICADO, PRIMARIA DE ADULTOS",False
1582,12,"04-12-0042-46, 04-12-0043-46, 04-12-0044-46, 04-12-0045-45, 04-12-0051-46, 04-12-0052-45, 04-12-0053-43, 04-12-0054-45, 04-12-0055-46, 04-12-0058-45, 04-12-0059-46, 04-12-0063-42",INSTITUTO PRIVADO MIXTO ORIZABA,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
3685,12,"18-04-0206-45, 18-04-0207-45, 18-04-0208-46, 18-04-0209-46, 18-04-0234-46, 18-04-0478-42, 18-04-0479-43, 18-04-0480-45, 18-04-0481-45, 18-04-0489-45, 18-04-0490-46, 18-04-0508-46",COLEGIO PRIVADO MIXTO BETHEZDA,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
184,12,"00-07-0058-44, 00-07-0059-45, 00-07-0060-45, 00-07-0061-46, 00-07-0062-45, 00-07-0063-46, 00-07-0064-46, 00-07-0086-46, 00-07-0087-46, 00-07-0088-45, 00-07-0144-46, 00-07-0211-45",COLEGIO EN COMPUTACION SAN JUAN,"BASICO, DIVERSIFICADO, PRIMARIA DE ADULTOS",False
1715,12,"05-06-0053-46, 05-06-0054-46, 05-06-0080-46, 05-06-0082-46, 05-06-0092-43, 05-06-0100-46, 05-06-0103-46, 05-06-0111-45, 05-06-0121-42, 05-06-0128-45, 05-06-0129-46, 05-06-0130-46",INSTITUTO TECNOLOGÍA Y CIENCIA,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
419,12,"00-18-0068-45, 00-18-0069-45, 00-18-0070-46, 00-18-0073-46, 00-18-0074-45, 00-18-0075-46, 00-18-0076-45, 00-18-0077-46, 00-18-0227-45, 00-18-0228-46, 00-18-9527-42, 00-18-9528-43",CENTRO EDUCATIVO INMACULADA CONCEPCION,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
2478,12,"12-10-0069-46, 12-10-0081-45, 12-10-0082-46, 12-10-0085-46, 12-10-0086-46, 12-10-3954-42, 12-10-3955-43, 12-10-3956-45, 12-10-4713-46, 12-10-4714-45, 12-10-4904-46, 12-10-4919-46",COLEGIO EVANGELICO PRIVADO MIXTO BETHESDA,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
304,12,"00-12-0044-46, 00-12-0086-46, 00-12-0138-45, 00-12-0139-46, 00-12-2542-46, 00-12-3023-45, 00-12-8219-45, 00-12-8220-46, 00-12-8419-42, 00-12-8420-43, 00-12-8421-45, 00-12-8422-46",COLEGIO DE INFORMATICA IMB-PC NO. 2,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
2206,12,"10-01-0101-45, 10-01-0102-45, 10-01-0103-45, 10-01-0104-46, 10-01-0105-46, 10-01-0376-45, 10-01-0377-45, 10-01-0396-46, 10-01-0399-46, 10-01-2375-45, 10-01-2481-46, 10-01-2617-46",INSTITUTO PRIVADO MIXTO PROFESIONAL VISION EDUCATIVA 2000,"BASICO, DIVERSIFICADO",False
557,12,"01-06-0100-42, 01-06-0101-43, 01-06-0102-45, 01-06-0103-45, 01-06-0104-46, 01-06-0105-44, 01-06-0106-45, 01-06-0107-45, 01-06-0108-46, 01-06-0109-46, 01-06-0169-45, 01-06-0170-46",COLEGIO VALLE DEL QUETZAL II,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA, PRIMARIA DE ADULTOS",False
1505,12,"04-01-0134-46, 04-01-0199-46, 04-01-0350-45, 04-01-0351-46, 04-01-2294-46, 04-01-2295-46, 04-01-2801-45, 04-01-2827-46, 04-01-2828-45, 04-01-3017-45, 04-01-3018-46, 04-01-3186-45","CENTRO DE ESTUDIOS TECNICOS Y AVANZADOS DE CHIMALTENANGO ""C.E.T.A.CH.""","BASICO, DIVERSIFICADO",False
1504,12,"04-01-0109-45, 04-01-0110-45, 04-01-0165-46, 04-01-0166-45, 04-01-0167-46, 04-01-0261-46, 04-01-0262-46, 04-01-0272-45, 04-01-0319-46, 04-01-0331-46, 04-01-0358-45, 04-01-3081-43",LICEO CRISTIANO HISPANOAMERICANO,"BASICO, DIVERSIFICADO, PRIMARIA",False
1474,12,"04-01-0281-45, 04-01-0282-45, 04-01-0283-45, 04-01-0284-45, 04-01-0285-46, 04-01-0286-46, 04-01-0287-46, 04-01-0288-46, 04-01-0352-45, 04-01-0353-45, 04-01-0354-46, 04-01-0355-46",COLEGIO DEL FUTURO,"BASICO, DIVERSIFICADO",False
1469,12,"04-01-0035-43, 04-01-0041-44, 04-01-0049-45, 04-01-0053-45, 04-01-0053-46, 04-01-0066-42, 04-01-0067-43, 04-01-0068-45, 04-01-0069-46, 04-01-0070-46, 04-01-0184-46, 04-01-0185-45","COLEGIO ""JOSÉ SIMEÓN CAÑAS Y VILLACORTA""","BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA, PRIMARIA DE ADULTOS",False
1826,12,"06-02-0023-45, 06-02-0080-46, 06-02-0081-46, 06-02-0082-45, 06-02-0083-46, 06-02-0084-46, 06-02-0085-46, 06-02-0086-45, 06-02-0094-45, 06-02-0095-46, 06-02-1990-45, 06-02-1998-46",INSTITUTO TECNOLOGICO PRIVADO DE SANTA ROSA CRISTO VIVE,"BASICO, DIVERSIFICADO",False
1033,12,"01-15-0585-42, 01-15-0586-43, 01-15-0587-45, 01-15-0588-45, 01-15-0589-46, 01-15-0590-46, 01-15-0591-46, 01-15-0592-45, 01-15-0593-46, 01-15-0682-45, 01-15-0683-46, 01-15-0760-45",LICEO TECNOLÓGICO GALES,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
2177,12,"09-20-0063-46, 09-20-0084-46, 09-20-0085-45, 09-20-0086-46, 09-20-0103-45, 09-20-0104-46, 09-20-0136-45, 09-20-0137-46, 09-20-0659-46, 09-20-0660-45, 09-20-0660-46, 09-20-0661-46","INSTITUTO PARTICULAR MIXTO ""PEDRO MOLINA""","BASICO, DIVERSIFICADO",False
1662,11,"05-02-0117-46, 05-02-0118-46, 05-02-0119-45, 05-02-0120-45, 05-02-0121-42, 05-02-0122-43, 05-02-0123-45, 05-02-0236-45, 05-02-0237-46, 05-02-0238-46, 05-02-0239-46",COLEGIO CRISTIANO EMMANUEL,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
497,11,"01-03-0135-46, 01-03-0136-46, 01-03-0137-45, 01-03-0138-45, 01-03-0144-42, 01-03-0145-43, 01-03-0146-45, 01-03-0147-45, 01-03-0148-46, 01-03-0172-45, 01-03-0173-46",COLEGIO INTEGRAL EBENEZER,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
431,11,"00-19-0045-42, 00-19-0046-43, 00-19-0047-45, 00-19-0048-46, 00-19-0049-44, 00-19-0050-45, 00-19-0051-45, 00-19-0052-46, 00-19-0053-46, 00-19-0092-45, 00-19-0099-46",LICEO COMERCIAL TECNOLÓGICO EL RODEO,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA, PRIMARIA DE ADULTOS",False
1692,11,"05-04-0041-45, 05-04-0042-46, 05-04-0043-46, 05-04-0044-42, 05-04-0045-43, 05-04-0046-45, 05-04-0047-45, 05-04-0048-46, 05-04-0053-46, 05-04-0054-45, 05-04-0055-44",CENTRO EDUCATIVO INTEGRAL SIQUINALTECO,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA, PRIMARIA DE ADULTOS",False
